"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.062289700E-2	-8.093964309E-3	6.566801574E-3	4.886921961E-3
3.062289700E-2	-9.162978269E-3	1.145372353E-2	2.443460934E-2
4.062289700E-2	-7.635815535E-3	1.878410578E-2	4.642575979E-2
5.062289700E-2	-2.596177394E-3	2.367102914E-2	6.704246253E-2
6.062289700E-2	2.290744567E-3	1.878410578E-2	7.925976813E-2
7.062289700E-2	2.290744567E-3	2.107485011E-2	8.048149943E-2
8.062289700E-2	-3.817907767E-3	2.122756653E-2	6.963863969E-2
9.062289700E-2	-2.748893574E-3	2.000583708E-2	5.375614017E-2
1.006228970E-1	1.985311974E-3	1.756237634E-2	3.527746722E-2
1.106228970E-1	3.054326167E-3	1.511891466E-2	1.939497143E-2
1.206228970E-1	2.901609987E-3	1.511891466E-2	8.552113548E-3
1.306228970E-1	2.901609987E-3	1.267545391E-2	7.330383174E-3
1.406228970E-1	1.679879380E-3	9.010262787E-3	7.330383174E-3
1.506228970E-1	6.108652451E-4	7.788531948E-3	1.588249579E-2
1.606228970E-1	3.054326167E-3	1.679879380E-3	3.039054573E-2
1.706228970E-1	6.108652451E-4	-1.985311974E-3	3.283400834E-2
1.806228970E-1	-4.276056774E-3	-5.650503561E-3	2.687807009E-2
1.906228970E-1	-6.719517522E-3	-7.941247895E-3	1.710422710E-2
2.006228970E-1	-6.872233935E-3	-1.038470957E-2	3.665191587E-3
2.106228970E-1	-3.359758761E-3	-1.527163107E-2	-8.552113548E-3
2.206228970E-1	-2.138028387E-3	-1.649336144E-2	-1.710422710E-2
2.306228970E-1	2.596177394E-3	-1.893682219E-2	-1.954768784E-2
2.406228970E-1	3.817907767E-3	-1.527163107E-2	-1.954768784E-2
2.506228970E-1	5.039638374E-3	-1.771509275E-2	-2.321287990E-2
2.606228970E-1	4.886921961E-3	-1.282817032E-2	-3.543018550E-2
2.706228970E-1	6.108652335E-3	-1.282817032E-2	-4.520402849E-2
2.806228970E-1	4.886921961E-3	-1.160643995E-2	-4.520402849E-2
2.906228970E-1	1.527163113E-4	-1.527163107E-2	-3.054326214E-2
3.006228970E-1	-7.024950348E-3	-2.015855350E-2	-7.330383174E-3
3.106228970E-1	-1.175915636E-2	-2.015855350E-2	1.466076635E-2
3.206228970E-1	-2.122756653E-2	-2.748893574E-2	3.680463135E-2
3.306228970E-1	-2.351831272E-2	-2.626720630E-2	5.024366826E-2
3.406228970E-1	-1.496619824E-2	-2.382374369E-2	5.619960278E-2
3.506228970E-1	-9.010262787E-3	-2.626720630E-2	5.497787148E-2
3.606228970E-1	-6.566801574E-3	-3.115412779E-2	4.886921868E-2
3.706228970E-1	-4.123340361E-3	-2.993239649E-2	4.276056588E-2
3.806228970E-1	6.108652451E-4	-2.626720630E-2	3.527746722E-2
3.906228970E-1	3.054326167E-3	-2.504547499E-2	2.672535367E-2
4.006228970E-1	4.123340361E-3	-2.504547499E-2	1.572977938E-2
4.106228970E-1	5.192354787E-3	-2.382374369E-2	1.069014193E-3
4.206228970E-1	6.414085161E-3	-2.382374369E-2	-8.704829961E-3
4.306228970E-1	8.704829961E-3	-2.626720630E-2	-1.237002108E-2
4.406228970E-1	8.704829961E-3	-2.626720630E-2	-1.359175146E-2
4.506228970E-1	9.926560335E-3	-2.138028294E-2	-1.481348183E-2
4.606228970E-1	1.114829071E-2	-1.908953860E-2	-1.359175146E-2
4.706228970E-1	1.359175146E-2	-1.420261711E-2	-9.926560335E-3
4.806228970E-1	1.130100712E-2	-1.542434748E-2	-6.261368748E-3
4.906228970E-1	5.192354787E-3	-1.175915636E-2	-1.527163113E-4
5.006228970E-1	2.901609987E-3	-1.053742506E-2	9.621127509E-3
5.106228970E-1	5.497787148E-3	-8.093964309E-3	2.428189293E-2
5.206228970E-1	7.941247895E-3	-5.650503561E-3	3.772092983E-2
5.306228970E-1	8.093964309E-3	1.679879380E-3	4.627304152E-2
5.406228970E-1	4.581489135E-3	1.023199316E-2	5.482515693E-2
5.506228970E-1	-1.527163084E-3	1.023199316E-2	5.726861581E-2
5.606228970E-1	-5.192354787E-3	6.566801574E-3	5.497787148E-2
5.706228970E-1	-3.970623948E-3	9.010262787E-3	5.131268129E-2
5.806228970E-1	-7.635815535E-3	1.023199316E-2	4.886921868E-2
5.906228970E-1	-7.635815535E-3	1.145372353E-2	5.009094998E-2
6.006228970E-1	-3.970623948E-3	1.511891466E-2	5.619960278E-2
6.106228970E-1	-3.054326226E-4	1.878410578E-2	5.482515693E-2
6.206228970E-1	3.359758761E-3	1.756237634E-2	5.115996301E-2
6.306228970E-1	-1.527163084E-3	1.756237634E-2	5.009094998E-2
6.406228970E-1	-3.970623948E-3	1.634064503E-2	5.131268129E-2
6.506228970E-1	-6.414085161E-3	1.511891466E-2	5.742133409E-2
6.606228970E-1	-3.970623948E-3	1.756237634E-2	5.864306539E-2
6.706228970E-1	-3.970623948E-3	1.756237634E-2	6.108652428E-2
6.806228970E-1	-2.748893574E-3	2.122756653E-2	6.215553731E-2
6.906228970E-1	2.290744567E-3	2.718350291E-2	6.582073122E-2
7.006228970E-1	2.290744567E-3	2.000583708E-2	6.826419383E-2
7.106228970E-1	8.246680722E-3	2.718350291E-2	6.582073122E-2
7.206228970E-1	8.246680722E-3	2.351831272E-2	5.726861581E-2
7.306228970E-1	1.053742506E-2	3.084869497E-2	4.505131021E-2
7.406228970E-1	1.542434748E-2	2.840523422E-2	3.649919853E-2
7.506228970E-1	1.771509275E-2	3.329215571E-2	3.145955876E-2
7.606228970E-1	1.664607786E-2	2.474004216E-2	3.878994286E-2
7.706228970E-1	9.468411095E-3	2.596177347E-2	6.215553731E-2
7.806228970E-1	-4.886921961E-3	1.878410578E-2	9.514226019E-2
7.906228970E-1	-1.786780916E-2	2.901609987E-3	1.539380401E-1
8.006228970E-1	-1.970040426E-2	1.145372353E-2	2.150245607E-1
8.106228970E-1	-1.985311974E-3	2.840523422E-2	2.904664278E-1
8.206228970E-1	4.505131021E-2	1.000291854E-1	3.755294085E-1
8.306228970E-1	9.911288321E-2	8.261952549E-2	4.543310404E-1
8.406228970E-1	1.171334088E-1	6.673702598E-2	4.382958114E-1
8.506228970E-1	8.399397135E-2	-1.985312104E-1	4.862487316E-1
8.606228970E-1	6.734789163E-2	-5.784893632E-1	6.803511381E-1
8.706228970E-1	6.123924255E-2	-6.418666840E-1	1.002735257E0
8.806228970E-1	7.192938030E-2	-3.010038435E-1	9.952521920E-1
